time_s,total_n3_packets,total_n6_packets,matched_packets,lost_packets,total_n3_payload,sum_matched_payload,n3_throughput_Bps,matched_throughput_Bps
1.05,4132,4056,3983,0,5773876,5576200,5478509.04,5290945.31
2.05,12712,12844,12671,0,17785876,17739400,12026627.81,12178011.93
3.12,22117,22308,22109,0,30952876,30952600,12355183.40,12398534.92
4.07,30532,30589,30390,0,42733876,42546000,12392288.43,12194954.30
5.01,38947,38870,38671,0,54514876,54139400,12575299.91,12375051.52
6.08,48352,48503,48304,0,67681876,67625600,12295693.73,12593771.16
7.03,56767,56953,56754,0,79462876,79455600,12322977.19,12374231.41
8.10,66337,66417,66218,0,92860876,92705200,12558555.20,12419453.13
9.04,74587,74698,74499,0,104410876,104298600,12259456.06,12305521.89
10.10,83992,83993,83794,0,117577876,117311600,12420654.77,12275383.95
11.08,88282,88218,88019,0,123583876,123226600,6149360.77,6056188.63
11.58,88282,88218,88019,263,123583876,123226600,0.00,0.00
