time_s,total_n3_packets,total_n6_packets,matched_packets,lost_packets,total_n3_payload,sum_matched_payload,normal_throughput_Bps,matched_throughput_Bps
1.04,0,0,0,0,0,0,0.00,0.00
2.04,0,0,0,0,0,0,0.00,0.00
3.05,0,0,0,0,0,0,0.00,0.00
4.06,807,0,0,0,1091908,0,1079826.90,0.00
5.06,807,0,0,0,1091908,0,0.00,0.00
6.07,1026,0,0,807,1386152,0,291631.85,0.00
7.22,1399,0,0,807,1898788,0,447853.93,0.00
8.02,1399,0,0,1026,1898788,0,0.00,0.00
9.05,2969,0,0,1399,4018040,0,2070239.09,0.00
10.06,3832,0,0,1399,5185024,0,1146943.46,0.00
11.07,3832,0,0,2167,5185024,0,0.00,0.00
12.08,4522,0,0,3832,6118008,0,924499.86,0.00
13.09,4522,0,0,3832,6118008,0,0.00,0.00
14.09,4522,0,0,3832,6118008,0,0.00,0.00
14.88,4522,0,0,4522,6118008,0,0.00,0.00
